PID,age,sex,marital_status,job,employment_since,credit_hist,credit_amount,purpose,duration,installment_rate,debtors,residence_since,property,installment_other,housing,existing_credits,liable_people,monthly_rent_or_mortgage,tel,online_banking,foreign,checking_account,savings,default
15538516,25,male,single,skilled employee / official,<1 year,existing credits paid,3821,business,7,2,none,4,real estate,none,rent,1,1,320,none,no,yes,55,270,2
2200894,29,male,single,skilled employee / official,<1 year,critical account,1238,radio/television,44,2,none,2,life insurance,none,own,2,1,1172,none,yes,yes,no checking account,74,1
11954063,20,male,single,skilled employee / official,unemployed,critical account,4549,car (new),44,2,none,4,unknown /no property,none,own,1,1,213,registered,yes,yes,557,829,2
15815825,39,female,single,skilled employee / official,2,existing credits paid,4977,furniture/equipment,25,3,none,1,unknown /no property,none,own,2,1,736,registered,yes,yes,174,53,2
10066786,39,male,single,skilled employee / official,11,existing credits paid,1643,car (new),15,4,none,4,car or other,none,own,1,1,818,registered,yes,yes,-163,unknown,1
5617356,32,female,married/widowed,skilled employee / official,4,critical account,250,business,4,2,none,1,real estate,none,rent,3,1,204,none,yes,yes,no checking account,66,2
6880934,36,female,single,skilled employee / official,1,delay,4162,furniture/equipment,16,2,none,4,car or other,none,own,1,1,195,none,no,yes,no checking account,46,2
1293266,23,female,single,unskilled - resident,2,critical account,10467,business,4,4,none,2,life insurance,none,own,1,1,222,registered,yes,yes,146,35,2
483147,28,male,single,management/self-employed/highly qualified,4,critical account,1033,furniture/equipment,7,2,none,3,life insurance,none,rent,1,2,702,none,yes,yes,73,100,1
8125130,48,female,single,unemployed/unskilled - non-resident,<1 year,critical account,4545,car (new),4,1,co-applicant,1,car or other,none,own,1,1,182,registered,yes,yes,no checking account,unknown,1
10288850,27,male,divorced/separated,unskilled - resident,3,existing credits paid,3143,radio/television,5,4,none,4,car or other,bank,rent,2,1,164,registered,yes,yes,20,839,1
1192687,49,female,single,skilled employee / official,<1 year,existing credits paid,3458,car (new),5,4,guarantor,1,real estate,none,own,1,1,287,none,yes,yes,no checking account,74,2
13982071,28,male,single,management/self-employed/highly qualified,3,critical account,1130,furniture/equipment,8,4,none,3,car or other,none,own,1,1,170,registered,yes,yes,174,80,2
10441665,75,male,divorced/separated,management/self-employed/highly qualified,unemployed,critical account,11060,car (new),25,4,none,4,car or other,none,own,1,2,194,none,yes,yes,200,1596,2
14428469,42,male,single,skilled employee / official,6,critical account,1290,car (used),72,4,co-applicant,4,real estate,stores,rent,1,1,204,registered,yes,yes,177,unknown,1
4436360,24,male,single,management/self-employed/highly qualified,<1 year,existing credits paid,369,car (new),11,4,guarantor,4,real estate,none,own,1,1,212,registered,yes,yes,83,47,2
13775517,29,male,divorced/separated,skilled employee / official,<1 year,existing credits paid,2010,business,18,2,none,4,real estate,none,own,1,1,212,none,yes,yes,no checking account,1275,1
15902810,49,male,single,management/self-employed/highly qualified,4,delay,2960,furniture/equipment,46,3,none,3,life insurance,none,own,2,2,220,none,yes,yes,no checking account,2268,2
7768071,35,male,single,skilled employee / official,11,delay,2590,business,43,2,none,4,car or other,none,own,1,2,186,none,yes,yes,no checking account,1953,1
12521197,32,female,single,unemployed/unskilled - non-resident,4,existing credits paid,4928,furniture/equipment,23,4,none,4,real estate,none,for free,1,1,196,none,yes,yes,42,747,1
7659608,66,male,divorced/separated,unskilled - resident,<1 year,critical account,3169,car (used),33,1,none,2,unknown /no property,none,own,1,2,175,registered,yes,yes,no checking account,unknown,1
14057762,50,male,single,skilled employee / official,2,critical account,3435,car (new),17,1,none,4,car or other,none,own,1,2,199,none,no,yes,-253,unknown,1
1876281,36,male,divorced/separated,management/self-employed/highly qualified,7,existing credits paid,1544,business,11,4,none,4,real estate,none,own,2,1,189,registered,yes,yes,15,97,1
8513041,23,male,divorced/separated,skilled employee / official,7,delay,734,car (new),14,4,none,3,car or other,none,own,1,2,207,none,no,no,94,55,1
110490,26,male,divorced/separated,skilled employee / official,2,critical account,3547,car (new),4,4,none,4,unknown /no property,bank,own,2,1,430,registered,yes,yes,-119,2765,2
14764539,32,male,married/widowed,skilled employee / official,6,existing credits paid,2599,radio/television,53,2,none,3,unknown /no property,none,own,1,1,204,registered,no,yes,no checking account,797,2
6655704,27,male,single,management/self-employed/highly qualified,3,critical account,1701,radio/television,17,4,none,2,life insurance,none,own,1,1,179,none,yes,yes,92,787,1
2788423,47,male,single,skilled employee / official,3,critical account,4813,car (new),29,3,guarantor,3,car or other,none,own,2,1,202,none,yes,yes,115,14,2
11857489,21,male,married/widowed,unskilled - resident,<1 year,critical account,250,furniture/equipment,48,4,none,1,unknown /no property,stores,own,1,1,220,none,yes,yes,637,222,2
5879148,30,male,divorced/separated,skilled employee / official,1,existing credits paid,4150,radio/television,8,4,guarantor,4,car or other,none,own,1,2,181,registered,yes,yes,no checking account,1417,2
8768607,37,male,single,unskilled - resident,<1 year,critical account,4808,car (new),17,2,none,4,unknown /no property,none,own,1,2,204,none,yes,yes,79,57,1
10735451,44,male,divorced/separated,skilled employee / official,<1 year,critical account,2198,education,4,4,none,4,car or other,bank,own,2,1,301,none,yes,yes,200,0,2
8531042,27,female,single,skilled employee / official,5,critical account,1616,car (new),56,1,none,4,real estate,bank,own,1,1,74,none,yes,yes,no checking account,100,1
3956796,39,male,single,skilled employee / official,16,existing credits paid,1964,business,10,2,none,2,unknown /no property,none,own,1,1,222,none,yes,yes,-100,57,1
13425301,35,male,divorced/separated,skilled employee / official,4,delay,250,car (used),6,3,none,1,real estate,none,own,1,1,638,registered,yes,yes,93,17,1
12781486,41,male,divorced/separated,unemployed/unskilled - non-resident,<1 year,critical account,2844,car (new),18,3,none,4,real estate,bank,own,2,1,996,registered,yes,yes,-228,43,2
11429653,30,male,single,skilled employee / official,4,delay,4161,car (new),13,3,none,4,real estate,none,own,1,2,180,registered,yes,no,134,2722,2
14561036,31,female,divorced/separated,unskilled - resident,2,critical account,2491,furniture/equipment,26,4,none,1,unknown /no property,bank,own,1,2,202,none,yes,yes,no checking account,unknown,2
4717429,28,male,single,skilled employee / official,5,critical account,909,business,9,1,none,4,car or other,none,own,1,1,575,none,yes,yes,no checking account,48,1
1131827,32,male,single,skilled employee / official,10,critical account,551,repairs,30,4,none,1,car or other,none,own,2,1,226,registered,yes,yes,no checking account,33,2
5921276,64,male,divorced/separated,skilled employee / official,22,critical account,762,radio/television,5,4,none,1,real estate,none,own,1,1,458,none,yes,no,82,58,1
9536885,31,male,single,skilled employee / official,4,all paid,756,business,15,4,none,4,life insurance,none,for free,1,2,386,none,yes,yes,-257,737,1
16212961,19,male,single,skilled employee / official,<1 year,critical account,5216,repairs,25,2,none,1,life insurance,none,own,1,1,315,none,no,yes,no checking account,unknown,2
2341215,19,male,single,skilled employee / official,3,critical account,1904,furniture/equipment,37,4,none,4,life insurance,none,own,2,1,233,registered,yes,yes,no checking account,56,1
2004044,32,male,single,unskilled - resident,2,existing credits paid,3237,radio/television,44,3,none,4,unknown /no property,none,own,1,1,235,none,yes,no,no checking account,39,2
5510506,35,male,married/widowed,skilled employee / official,4,existing credits paid,1048,car (new),43,2,none,1,unknown /no property,none,own,1,2,185,none,yes,yes,164,52,2
15684910,40,male,divorced/separated,skilled employee / official,10,existing credits paid,250,car (new),13,4,none,1,real estate,stores,own,1,1,198,none,yes,yes,no checking account,776,1
15065882,51,male,married/widowed,unskilled - resident,2,critical account,1474,car (new),16,3,none,2,life insurance,none,own,2,1,359,none,yes,yes,-139,65,2
12804777,75,female,married/widowed,skilled employee / official,1,delay,6984,domestic appliances,8,2,none,4,car or other,none,own,1,1,207,none,yes,yes,no checking account,843,1
8789593,22,male,married/widowed,skilled employee / official,5,critical account,1837,car (new),14,4,none,2,real estate,none,own,2,2,215,none,no,yes,515,21,1
15632803,45,male,single,skilled employee / official,21,existing credits paid,250,radio/television,24,4,none,4,real estate,bank,own,1,2,167,registered,yes,yes,36,49,1
417221,30,female,single,management/self-employed/highly qualified,1,critical account,1216,radio/television,23,4,none,2,life insurance,none,own,1,1,977,none,no,yes,-261,27,2
3632938,43,male,single,unskilled - resident,<1 year,delay,1011,car (new),9,2,none,4,unknown /no property,none,own,1,1,210,none,yes,no,no checking account,100,1
2918234,50,male,single,skilled employee / official,<1 year,existing credits paid,1638,furniture/equipment,22,4,none,4,life insurance,stores,own,1,1,353,none,yes,yes,105,1429,2
14925213,36,male,single,skilled employee / official,<1 year,no credits,593,car (new),41,4,none,2,life insurance,bank,own,2,1,503,none,yes,yes,no checking account,66,2
2180314,31,male,single,unskilled - resident,<1 year,critical account,3964,car (new),7,4,guarantor,1,car or other,none,own,1,2,628,registered,yes,yes,no checking account,29,2
9748931,21,male,married/widowed,management/self-employed/highly qualified,<1 year,all paid,250,car (used),18,4,none,4,life insurance,none,own,1,1,208,registered,yes,yes,no checking account,1949,2
3419434,34,male,single,skilled employee / official,unemployed,critical account,250,car (new),25,3,none,1,life insurance,none,own,3,1,213,none,no,yes,no checking account,751,2
465167,29,male,single,management/self-employed/highly qualified,<1 year,critical account,5118,car (new),13,2,guarantor,4,life insurance,bank,own,1,2,212,none,no,yes,no checking account,100,2
3800221,21,female,single,skilled employee / official,<1 year,existing credits paid,1200,others,7,3,none,3,unknown /no property,bank,own,1,1,318,none,no,yes,no checking account,84,2
7145055,19,female,single,skilled employee / official,7,critical account,302,furniture/equipment,15,4,none,1,unknown /no property,none,own,2,1,992,registered,yes,yes,75,67,2
13779082,46,female,single,management/self-employed/highly qualified,27,existing credits paid,4139,car (new),72,4,none,3,car or other,none,own,1,1,220,registered,yes,yes,no checking account,57,1
4674299,32,male,married/widowed,skilled employee / official,7,critical account,250,car (new),6,4,guarantor,3,real estate,none,own,1,1,546,none,yes,no,82,2430,1
12087768,37,male,single,management/self-employed/highly qualified,3,existing credits paid,5243,car (new),11,1,none,2,unknown /no property,bank,own,1,1,201,registered,yes,yes,no checking account,20,2
12488067,33,female,divorced/separated,unskilled - resident,15,existing credits paid,846,car (new),8,3,none,4,life insurance,none,own,1,1,232,none,no,yes,no checking account,21,1
14836335,35,female,single,skilled employee / official,3,critical account,4431,car (new),15,4,none,1,unknown /no property,bank,own,2,1,393,none,no,yes,no checking account,50,2
5501743,30,male,single,skilled employee / official,<1 year,existing credits paid,250,furniture/equipment,24,4,none,2,car or other,none,own,2,1,445,registered,yes,yes,no checking account,885,1
6492082,43,male,single,skilled employee / official,<1 year,all paid,3210,radio/television,6,4,none,2,real estate,none,own,2,1,0,registered,yes,yes,602,61,2
1490786,43,male,single,unskilled - resident,6,no credits,1037,car (new),55,4,none,4,real estate,bank,own,1,1,423,registered,yes,yes,no checking account,9,1
12533800,32,male,divorced/separated,management/self-employed/highly qualified,3,critical account,1542,furniture/equipment,20,2,none,2,car or other,none,rent,1,1,413,none,yes,yes,136,83,1
11144355,19,male,single,unskilled - resident,4,existing credits paid,1549,radio/television,25,2,co-applicant,3,unknown /no property,none,own,1,2,186,registered,yes,yes,168,76,1
3318553,33,male,single,skilled employee / official,<1 year,existing credits paid,563,car (new),27,2,none,4,real estate,none,for free,2,1,224,registered,yes,yes,-249,30,2
8404732,72,male,single,skilled employee / official,2,critical account,2140,car (new),12,3,none,4,unknown /no property,none,for free,2,1,214,none,yes,yes,no checking account,66,2
9506290,34,female,single,management/self-employed/highly qualified,3,existing credits paid,2497,business,42,4,none,4,real estate,bank,own,1,1,844,registered,yes,yes,no checking account,unknown,2
10265041,23,female,single,skilled employee / official,7,existing credits paid,250,furniture/equipment,11,1,none,4,real estate,none,own,2,1,209,registered,yes,yes,-83,44,2
14022317,48,female,single,unskilled - resident,2,delay,3243,car (new),10,1,none,1,car or other,none,own,2,1,229,registered,no,yes,no checking account,unknown,2
7548574,34,male,single,skilled employee / official,unemployed,critical account,6295,business,15,2,guarantor,4,life insurance,bank,own,1,1,189,registered,yes,yes,82,252,2
11113928,46,male,married/widowed,skilled employee / official,<1 year,no credits,5182,furniture/equipment,47,3,none,3,real estate,bank,own,1,1,383,none,no,yes,137,296,2
8206318,28,female,divorced/separated,unemployed/unskilled - non-resident,7,critical account,1188,business,13,4,none,4,unknown /no property,none,own,1,1,611,none,yes,yes,122,163,2
8631412,43,male,divorced/separated,management/self-employed/highly qualified,4,critical account,1225,car (new),21,4,none,4,car or other,none,own,1,1,193,none,yes,yes,176,61,2
7217518,41,male,single,unskilled - resident,4,existing credits paid,2958,business,9,3,none,4,unknown /no property,none,own,2,2,233,registered,yes,yes,no checking account,373,2
15332609,32,female,single,skilled employee / official,8,critical account,3848,furniture/equipment,72,4,none,4,unknown /no property,none,own,1,1,478,none,yes,yes,no checking account,64,1
1026867,22,male,divorced/separated,unskilled - resident,<1 year,critical account,250,domestic appliances,42,4,none,4,car or other,none,own,1,1,214,none,yes,yes,-178,unknown,2
1942095,54,male,single,unskilled - resident,10,existing credits paid,2654,education,62,4,none,2,real estate,none,own,2,1,1007,registered,yes,yes,192,unknown,1
5217001,34,male,single,management/self-employed/highly qualified,<1 year,existing credits paid,4958,car (new),64,4,none,4,real estate,none,own,2,1,213,none,yes,yes,127,444,2
11359524,34,male,single,unskilled - resident,6,critical account,4478,furniture/equipment,16,3,guarantor,4,car or other,none,own,2,1,211,none,yes,yes,no checking account,27,2
16502953,33,male,single,management/self-employed/highly qualified,1,critical account,742,radio/television,19,4,guarantor,4,unknown /no property,bank,own,1,2,0,registered,yes,yes,no checking account,unknown,1
13072548,39,female,divorced/separated,unskilled - resident,12,critical account,250,furniture/equipment,27,4,none,2,unknown /no property,bank,own,1,1,170,none,no,yes,-146,unknown,2
4522411,38,male,single,unskilled - resident,13,critical account,3892,car (new),43,4,none,4,life insurance,none,own,1,1,337,none,yes,yes,-216,356,2
12535851,33,male,single,management/self-employed/highly qualified,unemployed,existing credits paid,3075,education,12,4,none,4,real estate,bank,own,2,2,190,none,yes,no,501,unknown,1
6152545,42,male,single,unskilled - resident,4,critical account,9310,education,51,2,none,4,real estate,none,own,1,1,555,registered,no,yes,no checking account,100,1
11567148,27,male,single,management/self-employed/highly qualified,5,existing credits paid,4583,car (new),65,4,none,2,real estate,none,own,2,1,185,none,yes,yes,no checking account,unknown,1
10511121,27,male,single,unskilled - resident,9,existing credits paid,1078,car (new),4,3,none,4,car or other,none,own,2,1,1125,none,yes,yes,145,unknown,1
16458071,45,male,divorced/separated,skilled employee / official,22,existing credits paid,4096,furniture/equipment,14,4,none,3,real estate,none,rent,1,2,330,registered,yes,yes,no checking account,89,2
10179416,29,male,single,unemployed/unskilled - non-resident,9,existing credits paid,1535,others,22,2,none,4,life insurance,none,own,1,1,212,registered,yes,yes,no checking account,49,1
4728061,47,male,divorced/separated,management/self-employed/highly qualified,2,critical account,2196,car (new),4,4,none,4,life insurance,none,own,1,2,178,none,no,yes,no checking account,358,1
9524067,28,male,single,skilled employee / official,<1 year,existing credits paid,452,furniture/equipment,6,3,none,1,life insurance,none,for free,2,2,317,none,no,yes,no checking account,unknown,1
3557784,28,male,single,skilled employee / official,8,no credits,2534,car (new),9,4,none,3,life insurance,none,rent,1,1,349,none,no,yes,661,52,1
12062370,47,male,single,management/self-employed/highly qualified,<1 year,existing credits paid,1687,radio/television,25,1,guarantor,4,unknown /no property,none,for free,1,2,251,registered,yes,yes,-163,55,2
376133,49,male,divorced/separated,skilled employee / official,unemployed,critical account,254,furniture/equipment,11,4,none,3,unknown /no property,none,for free,1,1,423,none,yes,yes,-204,52,1
16542126,42,male,single,skilled employee / official,17,existing credits paid,1149,furniture/equipment,52,1,none,4,unknown /no property,stores,rent,3,1,209,none,yes,yes,no checking account,69,1
5775546,59,female,single,unskilled - resident,37,critical account,3039,car (new),24,4,none,2,real estate,none,own,2,2,338,none,yes,yes,no checking account,unknown,2
6102818,67,female,divorced/separated,unemployed/unskilled - non-resident,4,critical account,250,radio/television,13,4,none,4,unknown /no property,none,own,2,1,197,registered,yes,yes,168,396,2
8884234,22,female,single,management/self-employed/highly qualified,6,existing credits paid,4284,car (new),55,4,none,4,life insurance,none,rent,1,1,230,registered,yes,yes,0,622,2
4895445,19,male,married/widowed,skilled employee / official,7,existing credits paid,2542,car (new),7,4,guarantor,4,life insurance,none,own,1,1,186,registered,yes,yes,no checking account,unknown,1
5493018,41,female,divorced/separated,skilled employee / official,7,critical account,6630,car (used),33,4,none,3,life insurance,bank,own,2,1,908,none,no,yes,no checking account,1561,1
11848746,28,male,single,unskilled - resident,<1 year,no credits,457,car (new),24,3,none,2,real estate,bank,own,1,1,209,none,yes,yes,no checking account,unknown,1
1528964,33,female,married/widowed,skilled employee / official,6,critical account,1449,education,33,2,none,4,car or other,none,own,1,1,285,none,yes,yes,no checking account,656,1
11286442,63,male,single,management/self-employed/highly qualified,7,critical account,250,car (new),15,2,co-applicant,4,real estate,none,for free,1,1,228,none,yes,yes,-271,unknown,1
11714282,19,female,single,management/self-employed/highly qualified,<1 year,existing credits paid,2442,domestic appliances,42,3,none,3,life insurance,none,own,3,1,207,none,yes,yes,134,255,2
2752810,40,male,single,skilled employee / official,4,delay,1213,furniture/equipment,34,4,none,2,real estate,none,own,2,1,324,registered,yes,yes,100,48,1
7865841,37,male,single,skilled employee / official,11,critical account,923,education,4,4,none,2,car or other,none,own,2,1,204,none,yes,yes,-169,unknown,2
16258796,40,male,single,management/self-employed/highly qualified,21,delay,1027,car (new),72,4,none,4,life insurance,none,rent,1,2,468,none,yes,yes,506,unknown,1
5893811,28,male,single,skilled employee / official,<1 year,existing credits paid,2180,furniture/equipment,4,3,none,4,real estate,none,own,1,2,198,registered,yes,yes,no checking account,unknown,1
10936467,34,female,single,skilled employee / official,4,critical account,1570,business,23,4,none,4,life insurance,none,own,1,1,751,none,yes,yes,no checking account,2123,2
14718195,36,female,single,skilled employee / official,4,existing credits paid,2827,car (new),7,4,none,2,life insurance,none,own,2,1,208,none,yes,yes,128,62,1
9791551,31,male,single,skilled employee / official,<1 year,existing credits paid,2980,car (new),23,4,none,3,car or other,none,own,2,1,0,none,yes,yes,59,70,1
12557689,44,male,divorced/separated,management/self-employed/highly qualified,20,existing credits paid,5951,radio/television,4,4,none,4,real estate,none,own,2,1,191,registered,yes,yes,128,unknown,1
3945616,66,male,divorced/separated,skilled employee / official,5,critical account,8078,domestic appliances,26,2,none,4,car or other,bank,rent,1,1,189,none,yes,yes,no checking account,unknown,2
5269472,23,male,single,unskilled - resident,5,existing credits paid,6474,radio/television,38,4,none,3,unknown /no property,bank,own,2,1,186,registered,yes,yes,-150,55,2
4289221,45,male,divorced/separated,unskilled - resident,5,existing credits paid,2595,furniture/equipment,12,2,none,4,unknown /no property,none,own,1,1,180,none,no,yes,no checking account,286,2
2272660,26,male,single,management/self-employed/highly qualified,7,existing credits paid,11093,business,37,2,none,4,life insurance,none,rent,1,1,193,none,no,yes,161,unknown,2
1101287,33,female,single,skilled employee / official,<1 year,existing credits paid,6039,car (new),67,4,none,4,car or other,none,own,1,1,204,none,yes,yes,200,29,2
9921183,41,male,single,unskilled - resident,4,existing credits paid,1460,car (new),11,4,none,2,unknown /no property,none,own,4,1,348,registered,yes,yes,no checking account,36,1
2526712,19,male,single,skilled employee / official,1,existing credits paid,2252,furniture/equipment,12,4,none,2,car or other,none,own,1,2,201,registered,yes,yes,112,37,1
12241157,31,male,single,skilled employee / official,<1 year,existing credits paid,1962,radio/television,50,4,none,2,real estate,none,own,1,1,0,registered,yes,yes,-186,unknown,1
7644359,33,male,single,management/self-employed/highly qualified,<1 year,critical account,14512,furniture/equipment,29,2,none,4,unknown /no property,none,own,2,1,223,registered,yes,yes,23,2387,2
7362263,29,male,single,skilled employee / official,<1 year,critical account,631,repairs,21,3,none,2,life insurance,none,own,1,1,0,none,yes,yes,no checking account,354,2
3322938,19,male,divorced/separated,management/self-employed/highly qualified,<1 year,existing credits paid,774,radio/television,47,2,guarantor,2,real estate,none,own,1,1,270,none,yes,yes,73,55,1
13878929,34,female,single,skilled employee / official,8,all paid,1720,car (new),36,4,none,4,real estate,none,own,2,2,220,none,yes,yes,no checking account,803,1
883747,59,male,married/widowed,skilled employee / official,2,existing credits paid,3051,car (new),11,2,co-applicant,2,real estate,none,for free,1,1,186,none,yes,yes,90,1906,1
15230907,28,male,single,unskilled - resident,<1 year,critical account,2169,furniture/equipment,17,4,none,3,real estate,none,own,2,2,181,registered,yes,yes,-147,unknown,1
5870011,28,female,single,management/self-employed/highly qualified,<1 year,critical account,5541,radio/television,16,4,none,4,real estate,none,own,2,1,220,none,yes,yes,69,35,1
3551723,32,female,single,skilled employee / official,5,critical account,1656,furniture/equipment,37,4,none,4,unknown /no property,none,own,1,1,203,none,yes,yes,579,unknown,2
5640878,19,male,single,management/self-employed/highly qualified,<1 year,critical account,3200,car (new),64,4,none,4,car or other,none,rent,1,2,203,none,yes,yes,99,39,1
7809545,23,male,single,management/self-employed/highly qualified,<1 year,critical account,1000,car (used),16,4,none,1,life insurance,none,rent,2,1,42,none,yes,yes,-208,unknown,2
10591683,33,male,single,skilled employee / official,16,existing credits paid,1855,car (used),11,4,none,4,life insurance,bank,own,1,1,0,none,yes,yes,no checking account,144,1
2043295,34,male,single,skilled employee / official,2,existing credits paid,4737,car (new),16,4,guarantor,2,real estate,stores,own,1,1,182,none,yes,no,no checking account,323,1
6853201,33,male,single,unskilled - resident,4,critical account,1092,radio/television,27,2,none,3,car or other,none,own,1,1,660,registered,yes,yes,112,unknown,1
11386680,38,male,single,skilled employee / official,19,delay,2082,furniture/equipment,17,4,none,4,life insurance,none,own,1,1,171,registered,yes,yes,no checking account,24,2
7331053,46,male,single,unskilled - resident,<1 year,existing credits paid,623,business,4,4,none,4,real estate,none,rent,1,1,198,registered,yes,yes,80,279,1
9570428,26,male,divorced/separated,management/self-employed/highly qualified,7,critical account,755,education,33,2,none,2,unknown /no property,none,own,1,1,206,registered,yes,yes,no checking account,44,2
7199983,35,male,divorced/separated,skilled employee / official,4,critical account,3653,car (new),13,2,none,2,life insurance,none,own,1,1,198,registered,yes,yes,-184,527,2
11284535,35,male,single,unskilled - resident,<1 year,critical account,1333,furniture/equipment,18,1,co-applicant,4,unknown /no property,none,own,1,1,687,registered,yes,yes,78,unknown,2
1604197,34,female,divorced/separated,skilled employee / official,2,critical account,4852,car (used),20,2,none,4,car or other,none,own,1,1,235,registered,yes,yes,no checking account,1,2
15399223,34,male,divorced/separated,management/self-employed/highly qualified,4,critical account,5725,retraining,19,4,none,3,real estate,bank,rent,1,1,219,registered,yes,yes,no checking account,unknown,1
2743122,38,male,single,management/self-employed/highly qualified,2,critical account,605,radio/television,12,1,none,4,real estate,none,own,1,1,177,none,yes,yes,-285,65,1
3370473,29,male,single,management/self-employed/highly qualified,6,existing credits paid,3037,retraining,26,4,none,2,real estate,none,own,1,1,221,none,yes,yes,87,51,2
11051878,43,male,single,management/self-employed/highly qualified,25,existing credits paid,4226,furniture/equipment,4,3,none,2,real estate,none,own,1,1,218,registered,yes,no,-223,84,2
3806061,30,male,divorced/separated,management/self-employed/highly qualified,3,critical account,14506,car (used),25,3,none,4,real estate,none,own,1,2,0,registered,yes,yes,no checking account,62,1
7092525,36,female,divorced/separated,unskilled - resident,4,critical account,1567,car (used),22,4,none,4,real estate,none,own,1,1,187,none,yes,yes,-225,697,2
1546637,28,male,divorced/separated,unskilled - resident,9,existing credits paid,4324,furniture/equipment,4,3,none,4,unknown /no property,stores,rent,1,1,215,registered,yes,yes,120,0,1
8331167,32,male,single,unskilled - resident,<1 year,delay,16444,furniture/equipment,12,1,none,4,real estate,none,for free,2,1,223,none,yes,yes,-167,69,1
12600494,33,female,single,skilled employee / official,6,critical account,1037,car (new),10,4,none,2,real estate,bank,own,2,1,220,registered,yes,yes,111,49,2
8145093,45,female,married/widowed,unskilled - resident,5,existing credits paid,937,car (new),39,4,none,2,car or other,none,own,2,1,0,none,no,yes,149,unknown,2
5968995,32,male,single,skilled employee / official,7,existing credits paid,1989,education,46,4,none,4,life insurance,none,own,1,1,76,registered,yes,yes,no checking account,unknown,1
12284989,20,male,single,skilled employee / official,<1 year,existing credits paid,250,car (new),10,1,none,2,unknown /no property,bank,own,1,1,240,registered,yes,yes,no checking account,0,2
12340128,64,male,divorced/separated,unskilled - resident,4,critical account,1243,furniture/equipment,21,2,none,4,life insurance,none,own,1,2,1054,registered,yes,yes,128,53,1
13434151,33,male,married/widowed,management/self-employed/highly qualified,3,critical account,602,car (new),68,4,none,4,life insurance,none,own,1,1,364,registered,no,yes,-214,44,1
13720649,36,male,single,skilled employee / official,2,no credits,3426,others,16,4,none,4,car or other,stores,own,2,1,373,none,no,yes,76,unknown,2
15006675,19,male,single,management/self-employed/highly qualified,4,critical account,8759,furniture/equipment,11,3,none,3,unknown /no property,none,rent,2,1,1103,none,yes,yes,84,0,1
1660154,38,male,single,skilled employee / official,3,delay,1332,car (new),32,4,none,2,car or other,none,own,1,1,209,registered,yes,yes,no checking account,18,1
14441517,34,male,single,skilled employee / official,<1 year,all paid,2493,radio/television,15,4,none,4,car or other,none,own,1,1,221,registered,yes,yes,no checking account,unknown,1
12012696,50,male,single,skilled employee / official,unemployed,critical account,2951,car (new),4,4,none,4,car or other,bank,for free,3,1,184,none,yes,yes,115,787,1
15734505,41,male,married/widowed,skilled employee / official,1,critical account,3833,radio/television,29,2,none,2,unknown /no property,none,own,1,1,223,none,yes,yes,128,unknown,1
6270047,26,female,single,skilled employee / official,<1 year,existing credits paid,2344,car (used),11,3,co-applicant,4,real estate,none,own,1,1,0,registered,yes,no,-130,896,2
9056681,37,male,single,unskilled - resident,5,critical account,2190,car (new),46,2,none,2,real estate,none,own,1,2,231,registered,yes,yes,-140,2049,1
1891269,30,male,divorced/separated,management/self-employed/highly qualified,9,critical account,4682,repairs,16,1,none,4,car or other,none,own,2,1,219,registered,yes,no,72,unknown,1
10716638,25,male,divorced/separated,unskilled - resident,7,all paid,814,repairs,13,2,none,3,real estate,bank,for free,2,2,192,none,yes,yes,no checking account,unknown,2
6841378,23,male,single,management/self-employed/highly qualified,<1 year,critical account,3609,car (new),24,3,none,4,real estate,none,for free,1,1,188,none,no,yes,133,unknown,2
8612996,19,male,divorced/separated,skilled employee / official,3,no credits,6451,radio/television,10,4,none,4,unknown /no property,none,own,3,1,200,none,yes,yes,no checking account,755,1
7273613,72,male,single,skilled employee / official,11,critical account,3237,radio/television,11,3,guarantor,4,unknown /no property,none,for free,1,1,209,none,yes,yes,606,289,2
4846873,38,male,divorced/separated,management/self-employed/highly qualified,1,critical account,250,furniture/equipment,14,1,guarantor,2,car or other,none,rent,1,1,458,none,yes,yes,593,363,2
15548126,51,male,married/widowed,skilled employee / official,1,critical account,437,business,49,4,none,1,life insurance,bank,own,2,1,965,registered,yes,yes,96,38,2
7958787,43,male,single,skilled employee / official,<1 year,existing credits paid,2301,education,13,4,none,3,real estate,none,own,1,1,199,registered,no,yes,no checking account,55,2
11735323,34,female,single,skilled employee / official,1,existing credits paid,2199,radio/television,28,4,none,1,life insurance,bank,own,2,1,223,none,yes,yes,no checking account,356,2
11541042,38,male,divorced/separated,unskilled - resident,11,existing credits paid,2391,car (used),54,4,none,4,car or other,none,own,1,1,1126,registered,no,yes,no checking account,1457,1
6003519,44,male,divorced/separated,management/self-employed/highly qualified,<1 year,critical account,333,radio/television,15,1,none,2,real estate,none,own,2,1,887,none,yes,yes,no checking account,53,1
13582043,27,female,single,skilled employee / official,2,delay,11155,car (new),36,4,none,2,life insurance,none,own,1,1,235,registered,yes,yes,no checking account,44,2
1906183,72,male,single,unskilled - resident,<1 year,existing credits paid,1473,radio/television,15,4,none,4,unknown /no property,none,own,1,1,197,registered,yes,yes,37,262,2
950910,32,female,single,unemployed/unskilled - non-resident,<1 year,critical account,2391,car (new),22,2,co-applicant,4,car or other,none,own,2,2,229,registered,yes,yes,no checking account,38,2
